"id";"date";"day";"month";"year"
1;"2002-05-20";20;5;2002
2;"2030-07-20";20;7;2030
3;"2020-11-20";20;11;2020
4;"2010-08-20";20;8;2010
5;"2007-03-20";20;3;2007
6;"2010-07-20";20;7;2010
7;"2012-12-20";20;12;2012
8;"2013-02-20";20;2;2013
9;"2017-02-20";20;2;2017
10;"2016-05-20";20;5;2016
11;"2011-03-20";20;3;2011
12;"2001-04-20";20;4;2001
13;"2023-01-20";20;1;2023
14;"2028-11-20";20;11;2028
15;"2027-08-20";20;8;2027
16;"2023-10-20";20;10;2023
17;"2007-06-20";20;6;2007
18;"2021-12-20";20;12;2021
19;"2022-07-20";20;7;2022
20;"2021-11-20";20;11;2021
21;"2002-07-20";20;7;2002
22;"2014-06-20";20;6;2014
23;"2008-05-20";20;5;2008
24;"2026-12-20";20;12;2026
25;"2012-01-20";20;1;2012
26;"2002-09-20";20;9;2002
27;"2023-08-20";20;8;2023
28;"2024-07-20";20;7;2024
29;"2004-02-20";20;2;2004
30;"2002-04-20";20;4;2002
31;"2001-06-20";20;6;2001
32;"2019-11-20";20;11;2019
33;"2031-10-20";20;10;2031
34;"2001-08-20";20;8;2001
35;"2021-02-20";20;2;2021
36;"2031-07-20";20;7;2031
37;"2002-10-20";20;10;2002
38;"2010-10-20";20;10;2010
39;"2027-06-20";20;6;2027
40;"2001-10-20";20;10;2001
41;"2015-11-20";20;11;2015
42;"2008-11-20";20;11;2008
43;"2022-11-20";20;11;2022
44;"2023-11-20";20;11;2023
45;"2005-07-20";20;7;2005
46;"2001-11-20";20;11;2001
47;"2011-09-20";20;9;2011
48;"2020-09-20";20;9;2020
49;"2025-11-20";20;11;2025
50;"2010-03-20";20;3;2010
51;"2014-02-20";20;2;2014
52;"2010-04-20";20;4;2010
53;"2010-02-20";20;2;2010
54;"2001-12-20";20;12;2001
55;"2003-05-20";20;5;2003
56;"2031-01-20";20;1;2031
57;"2014-12-20";20;12;2014
58;"2019-05-20";20;5;2019
59;"2023-12-20";20;12;2023
60;"2001-09-20";20;9;2001
61;"2018-07-20";20;7;2018
62;"2030-11-20";20;11;2030
63;"2021-04-20";20;4;2021
64;"2028-05-20";20;5;2028
65;"2006-03-20";20;3;2006
66;"2022-12-20";20;12;2022
67;"2016-04-20";20;4;2016
68;"2008-10-20";20;10;2008
69;"2029-11-20";20;11;2029
70;"2001-05-20";20;5;2001
71;"2028-06-20";20;6;2028
72;"2008-08-20";20;8;2008
73;"2016-08-20";20;8;2016
74;"2024-10-20";20;10;2024
75;"2007-08-20";20;8;2007
76;"2015-02-20";20;2;2015
77;"2015-08-20";20;8;2015
78;"2022-04-20";20;4;2022
79;"2013-12-20";20;12;2013
80;"2003-11-20";20;11;2003
81;"2010-01-20";20;1;2010
82;"2025-10-20";20;10;2025
83;"2011-05-20";20;5;2011
84;"2017-12-20";20;12;2017
85;"2006-09-20";20;9;2006
86;"2024-11-20";20;11;2024
87;"2019-12-20";20;12;2019
88;"2020-10-20";20;10;2020
89;"2005-05-20";20;5;2005
90;"2003-04-20";20;4;2003
91;"2016-03-20";20;3;2016
92;"2011-01-20";20;1;2011
