"id";"title_id";"score";"certificate";"time_id"
1;189;9.3;2;3
2;162;9.2;2;2
3;154;9.0;1;4
4;163;9.0;2;5
5;1;9.0;6;4
6;128;9.0;2;3
7;181;9.0;1;5
8;114;8.9;2;4
9;180;8.8;1;4
10;165;8.8;6;2
11;33;8.8;1;4
12;182;8.8;1;2
13;58;8.8;1;5
14;142;8.7;3;3
15;183;8.7;2;4
16;40;8.7;2;2
17;103;8.7;6;4
18;129;8.6;2;4
19;130;8.6;6;2
20;66;8.6;3;4
21;191;8.6;2;3
22;126;8.6;2;4
23;63;8.6;1;3
24;77;8.6;1;4
25;170;8.6;2;2
26;141;8.6;3;4
27;146;8.6;2;2
28;14;8.5;3;2
29;138;8.6;3;3
30;185;8.5;2;4
31;113;8.5;2;4
32;105;8.5;2;4
33;82;8.5;2;5
34;178;8.5;4;3
35;36;8.5;2;3
36;157;8.5;2;4
37;200;8.5;2;3
38;186;8.5;1;4
39;219;8.5;2;2
40;19;8.5;3;4
41;42;8.5;6;3
42;48;8.6;6;3
43;175;8.5;2;3
44;90;8.5;4;2
45;102;8.5;1;3
46;119;8.5;3;4
47;7;8.5;2;5
48;22;8.5;4;4
49;11;8.5;2;4
50;86;8.4;2;4
51;26;8.4;2;3
52;60;8.4;3;3
53;217;8.4;4;4
54;179;8.4;2;3
55;144;8.4;6;2
56;107;8.4;6;3
57;190;8.4;2;4
58;168;8.4;4;4
59;13;8.4;1;2
60;222;8.4;6;5
61;8;8.4;2;4
62;136;8.4;3;4
63;28;8.4;3;3
64;155;8.4;1;5
65;99;8.4;2;3
66;61;8.3;2;2
67;10;8.4;3;3
68;23;8.4;3;4
69;210;8.3;4;2
70;69;8.4;2;3
71;152;8.4;6;5
72;12;8.4;1;4
73;111;8.4;1;5
74;101;8.3;2;2
75;39;8.3;2;3
76;224;8.4;6;5
77;133;8.3;4;4
78;121;8.3;6;3
79;211;8.3;4;3
80;51;8.4;6;3
81;143;8.3;3;5
82;29;8.3;2;4
83;4;8.3;4;4
84;122;8.3;2;4
85;173;8.3;2;2
86;83;8.3;6;3
87;76;8.3;6;4
88;98;8.3;6;4
89;216;8.3;3;3
90;55;8.3;6;2
91;148;8.3;6;3
92;27;8.3;6;3
93;34;8.3;2;2
94;209;8.3;1;3
95;127;8.3;2;4
96;47;8.4;1;3
97;57;8.3;2;4
98;207;8.3;6;3
99;50;8.3;2;2
100;194;8.3;3;3
101;214;8.3;3;5
102;5;8.3;1;4
103;88;8.3;6;5
104;145;8.2;2;3
105;74;8.2;2;3
106;134;8.2;2;2
107;59;8.2;1;4
108;17;8.3;6;3
109;79;8.3;3;4
110;3;8.2;2;3
111;31;8.2;2;2
112;177;8.3;6;3
113;135;8.2;6;3
114;160;8.2;1;4
115;9;8.2;6;4
116;203;8.2;2;2
117;43;8.2;1;3
118;70;8.3;6;3
119;116;8.2;2;3
120;104;8.2;2;4
121;199;8.2;3;3
122;204;8.2;2;4
123;213;8.2;2;3
124;192;8.2;1;2
125;132;8.2;2;3
126;71;8.2;1;4
127;223;8.2;6;3
128;198;8.2;6;3
129;92;8.2;3;3
130;169;8.2;6;3
131;97;8.2;2;5
132;137;8.2;1;4
133;72;8.2;2;5
134;117;8.2;6;3
135;196;8.2;2;3
136;30;8.2;4;3
137;158;8.2;3;3
138;21;8.2;2;2
139;115;8.2;2;4
140;215;8.2;2;4
141;38;8.2;6;3
142;80;8.2;2;3
143;62;8.2;3;5
144;187;8.2;2;4
145;54;8.2;3;3
146;205;8.1;2;3
147;153;8.2;3;4
148;212;8.1;2;2
149;112;8.1;2;4
150;218;8.2;1;2
151;41;8.1;2;3
152;95;8.1;4;4
153;20;8.1;1;3
154;89;8.1;1;2
155;18;8.1;2;2
156;164;8.1;6;3
157;15;8.1;2;4
158;2;8.1;2;4
159;73;8.2;3;3
160;49;8.1;1;3
161;100;8.1;6;3
162;37;8.1;2;3
163;166;8.1;2;2
164;220;8.1;6;4
165;161;8.1;6;4
166;197;8.1;6;5
167;56;8.1;2;4
168;156;8.1;2;2
169;46;8.1;2;3
170;201;8.2;6;3
171;87;8.1;6;5
172;131;8.2;6;3
173;221;8.1;2;5
174;93;8.1;6;2
175;84;8.1;2;4
176;188;8.1;6;4
177;85;8.1;6;3
178;53;8.1;3;4
179;124;8.1;2;3
180;91;8.1;4;2
181;68;8.1;3;3
182;151;8.1;2;4
183;208;8.2;6;3
184;184;8.2;6;2
185;52;8.1;1;5
186;32;8.1;1;3
187;123;8.1;3;3
188;110;8.1;2;3
189;118;8.1;4;3
190;139;8.1;2;4
191;195;8.1;2;2
192;81;8.1;2;3
193;140;8.1;6;2
194;125;8.1;2;2
195;96;8.1;2;3
196;64;8.1;2;3
197;16;8.1;2;3
198;202;8.1;4;2
199;106;8.3;6;4
200;44;8.1;3;3
201;150;8.1;6;2
202;159;8.1;2;4
203;174;8.0;3;4
204;206;8.2;6;3
205;75;8.1;6;4
206;149;8.1;6;3
207;109;8.1;1;3
208;45;8.1;4;2
209;167;8.1;6;5
210;67;8.8;6;2
211;94;8.2;6;4
212;120;8.1;6;3
213;24;8.1;6;2
214;171;8.1;6;4
215;147;8.1;6;3
216;193;8.1;4;4
217;65;8.1;6;3
218;108;8.1;6;3
219;78;8.0;2;3
220;176;8.1;3;4
221;172;8.1;1;4
222;6;8.0;4;5
223;35;8.0;3;3
224;25;8.0;1;2
